episode,p1_wins,p2_wins,draws,avg_game_length,epsilon,loss,q_value_mean,rolling_p1_wr,rolling_p2_wr,rolling_draw_wr,rolling_game_length,rolling_loss
188,0,1,0,54,0.39166620452737816,0.0,0.11589462549558707,42.0,57.99999999999999,0.0,33.28,0.0025580937071936205
189,0,1,0,38,0.3897078735047413,0.0,0.1273819200694561,42.0,57.99999999999999,0.0,33.34,0.0025580937071936205
190,0,1,0,14,0.3877593341372176,0.0001655742817092687,0.11257779877632856,42.0,57.99999999999999,0.0,32.52,0.0020957167481537907
191,0,1,0,30,0.3858205374665315,0.0,0.12328744963521049,42.0,57.99999999999999,0.0,31.98,0.0020957167481537907
192,0,1,0,17,0.38389143477919885,0.0,0.11001605689525604,40.0,60.0,0.0,31.34,0.0020957167481537907
193,1,0,0,29,0.3819719776053028,0.0,0.10420662785569827,40.0,60.0,0.0,30.94,0.0020957167481537907
194,0,1,0,31,0.3800621177172763,0.0,0.11285817352208224,38.0,62.0,0.0,31.08,0.0020957167481537907
195,0,1,0,46,0.37816180712868996,0.0,0.11106685935347169,38.0,62.0,0.0,31.44,0.0020957167481537907
196,0,1,0,17,0.37627099809304654,0.0,0.12414089176389906,36.0,64.0,0.0,31.08,0.0020957167481537907
197,1,0,0,15,0.3743896431025813,0.0,0.1186428459154235,38.0,62.0,0.0,30.8,0.0020957167481537907
198,1,0,0,27,0.37251769488706843,0.0,0.12044156129871096,40.0,60.0,0.0,30.84,0.0020957167481537907
199,0,1,0,13,0.3706551064126331,0.0,0.11976230144500732,40.0,60.0,0.0,30.7,0.0020957167481537907
200,0,1,0,28,0.36880183088056995,0.024908753111958504,0.11895009828731418,40.0,60.0,0.0,30.56,0.0013051765074487776
201,1,0,0,21,0.3669578217261671,0.0,0.14258817182137415,40.0,60.0,0.0,30.36,0.0013051765074487776
202,1,0,0,37,0.36512303261753626,0.0,0.1285187297541162,40.0,60.0,0.0,30.78,0.0013051765074487776
203,0,1,0,32,0.3632974174544486,0.0,0.12216094574507545,40.0,60.0,0.0,30.76,0.0013051765074487776
204,1,0,0,56,0.3614809303671764,0.0,0.12894589325477337,40.0,60.0,0.0,31.5,0.0013051765074487776
205,0,1,0,26,0.3596735257153405,0.0,0.10991994912425677,40.0,60.0,0.0,31.26,0.0013051765074487776
206,0,1,0,36,0.3578751580867638,0.0,0.12798412702977657,40.0,60.0,0.0,31.56,0.0013051765074487776
207,1,0,0,52,0.35608578229633,0.0,0.12093975651880791,40.0,60.0,0.0,32.14,0.0013051765074487776
208,1,0,0,61,0.3543053533848483,0.0,0.11047585763865048,42.0,57.99999999999999,0.0,32.22,0.0013051765074487776
209,0,1,0,65,0.35253382661792404,0.0,0.12355557998472994,42.0,57.99999999999999,0.0,33.06,0.0013051765074487776
210,0,1,0,39,0.3507711574848344,0.03945538029074669,0.10287259408721218,42.0,57.99999999999999,0.0,33.14,0.002092287291598041
211,1,0,0,58,0.34901730169741024,0.0,0.11604115863641103,42.0,57.99999999999999,0.0,33.96,0.002092287291598041
212,1,0,0,24,0.3472722151889232,0.0,0.10272686026598278,42.0,57.99999999999999,0.0,33.62,0.002092287291598041
213,1,0,0,33,0.3455358541129786,0.0,0.1131712700191297,44.0,56.00000000000001,0.0,33.64,0.002092287291598041
214,0,1,0,36,0.3438081748424137,0.0,0.11774302338776381,42.0,57.99999999999999,0.0,33.84,0.002092287291598041
215,0,1,0,10,0.3420891339682016,0.0,0.12563909031450748,40.0,60.0,0.0,33.22,0.002092287291598041
216,1,0,0,10,0.3403786882983606,0.0,0.11391139402985573,42.0,57.99999999999999,0.0,32.3,0.002092287291598041
217,0,1,0,29,0.3386767948568688,0.0,0.12641519978642463,40.0,60.0,0.0,32.4,0.002092287291598041
218,1,0,0,23,0.33698341088258443,0.0,0.10367292248540455,42.0,57.99999999999999,0.0,31.7,0.002092287291598041
